Order,Artist,Title,Notes
1,Brian Eno,An Ending (Ascent),Gentle opener
2,Stars of the Lid,Requiem for Dying Mothers Pt. 2,Deep ambient
3,Hammock,Turn Away and Return,Slow transition
4,A Winged Victory for the Sullen,Steep Hills of Vicodin Tears,Calming strings
5,Nils Frahm,Ambre,Soft piano
6,Ólafur Arnalds,Near Light,Warm modern classical
7,Max Richter,Dream 3 (in the midst of my life),Reflective
8,Loscil,Equivalent 8,Immersive ambient
9,Carbon Based Lifeforms,MOS 6581,Floating atmosphere
10,Biosphere,Kobresia,Nature-inspired ambient
11,Steve Roach,Structures from Silence,Deep relaxation
12,Brian Eno,Thursday Afternoon,Sleep transition
13,Marconi Union,Weightless,Well-known relaxation piece